年月,地区代码,店铺代码,全部订单数,会员订单数,年,月
201801,GBL6030,DPX077,130,7.0,2018,1
201801,GBL6030,DPX078,277,19.0,2018,1
201801,GBL6030,DPX079,163,1.0,2018,1
201801,GBL6030,DPX08X,154,5.0,2018,1
201801,GBL6030,DPX082,276,14.0,2018,1
201801,GBL6030,DPX084,34,0.0,2018,1
201801,GBL6030,DPX087,419,10.0,2018,1
201801,GBL6030,DPX088,265,24.0,2018,1
201801,GBL6030,DPX089,124,29.0,2018,1
201801,GBL6030,DPX090,193,13.0,2018,1
201801,GBL6030,DPX09X,352,232.0,2018,1
201801,GBL6030,DPX092,202,15.0,2018,1
201801,GBL6030,DPX094,176,61.0,2018,1
201801,GBL6030,DPX095,162,126.0,2018,1
201801,GBL6030,DPX097,236,0.0,2018,1
201801,GBL6030,DPX098,141,4.0,2018,1
201801,GBL6030,DPX099,208,21.0,2018,1
201801,GBL6030,DPXX0X,142,95.0,2018,1
201801,GBL6030,DPXX02,167,34.0,2018,1
201801,GBL6030,DPXX03,99,0.0,2018,1
201801,GBL6030,DPXX04,72,7.0,2018,1
201801,GBL6030,DPXX05,126,0.0,2018,1
201801,GBL6030,DPXX06,104,0.0,2018,1
201801,GBL6030,DPXX07,91,0.0,2018,1
201801,GBL6030,DPXX08,178,4.0,2018,1
201801,GBL6030,DPXX09,1185,6.0,2018,1
201801,GBL6030,DPXXX0,281,246.0,2018,1
201801,GBL6030,DPXXX6,248,4.0,2018,1
201801,GBL6030,DPXXX7,195,52.0,2018,1
201801,GBL6030,DPXXX8,143,65.0,2018,1
201801,GBL6030,DPXXX9,181,18.0,2018,1
201801,GBL6030,DPXX20,475,4.0,2018,1
201801,GBL6030,DPXX2X,145,29.0,2018,1
201801,GBL6030,DPXX22,263,10.0,2018,1
201801,GBL6030,DPXX24,114,2.0,2018,1
201801,GBL6030,DPXX25,311,0.0,2018,1
201801,GBL6030,DPXX26,231,0.0,2018,1
201801,GBL6030,DPXX29,252,64.0,2018,1
201801,GBL6030,DPXX30,157,11.0,2018,1
201801,GBL6030,DPXX3X,225,13.0,2018,1
201801,GBL6030,DPXX33,244,20.0,2018,1
201801,GBL6030,DPXX35,230,2.0,2018,1
201801,GBL6030,DPXX36,219,14.0,2018,1
201801,GBL6030,DPXX37,243,7.0,2018,1
201801,GBL6030,DPXX38,184,4.0,2018,1
201801,GBL6030,DPXX39,356,123.0,2018,1
201801,GBL6030,DPXX40,77,15.0,2018,1
201801,GBL6030,DPXX4X,157,0.0,2018,1
201801,GBL6030,DPXX42,193,18.0,2018,1
201801,GBL6030,DPXX43,286,0.0,2018,1
201801,GBL6030,DPXX44,299,4.0,2018,1
201801,GBL6030,DPXX45,137,3.0,2018,1
201801,GBL6030,DPXX46,307,1.0,2018,1
201801,GBL6030,DPXX47,330,7.0,2018,1
201801,GBL6030,DPXX48,180,4.0,2018,1
