店铺代码,地区编码,渠道大类,商圈等级描述,商圈类别描述,店铺位置,店铺状态,仓储类别,营业员数,仓储面积,店铺等级,店铺时尚度,接受价格等级,店铺类型,装修代数
DPX00X,GBL6020,DZ01,流行,中心,1F中岛,A,店外仓,2.0,15.0,A,2.0,中,1.0,8代
DPX002,GBL6020,DZ01,流行,中心,1F中岛,A,店外仓,2.0,17.0,A,1.0,中,1.0,7代
DPX003,GBL6020,DZ01,流行,中心,2F中岛,A,店外仓,2.0,10.0,B,2.0,中,1.0,7代
DPX004,GBL6020,DZ01,流行,新兴,1F边厅,A,店外仓,2.0,13.0,B,2.0,中,1.0,7代
DPX005,GBL6020,DZ01,流行,中心,1F边厅,A,店外仓,3.0,9.0,B,1.0,中,1.0,7代
DPX006,GBL6020,DZ01,大众,中心,3F边厅,Z1,店外仓,3.0,15.0,B,3.0,中,1.0,7代
DPX007,GBL6020,DZ01,流行,中心,1F中岛,A,店外仓,3.0,20.0,B,2.0,中,1.0,7代
DPX008,GBL6020,DZ01,大众,社区,1F边厅,A,店外仓,3.0,15.0,C,3.0,低,1.0,7代
DPX0X0,GBL6020,DZ01,高端,新兴,1F边厅,Z1,店外仓,2.0,10.0,C,3.0,中,1.0,7代
DPX0X2,GBL6020,DZ01,流行,中心,2F边厅,A,店外仓,4.0,14.0,A,2.0,中,1.0,7代
DPX0X3,GBL6020,DZ01,大众,社区,1F边厅,A,店外仓,4.0,12.0,A,3.0,中,1.0,7代
DPX0X4,GBL6020,DZ01,大众,社区,1F边厅,A,店外仓,3.0,12.0,B,3.0,低,1.0,7代
DPX0X5,GBL6020,DZ01,流行,中心,1F边厅,A,店外仓,4.0,35.3,B,2.0,中,1.0,7代
DPX0X7,GBL6020,DZ01,流行,中心,1F边厅,A,店外仓,3.0,5.0,B,3.0,低,1.0,7代
DPX0X8,GBL6020,DZ01,大众,中心,3F边厅,A,店外仓,3.0,9.0,C,3.0,中,1.0,8代
DPX020,GBL6020,DZ01,高端,中心,4F边厅,A,店外仓,4.0,16.0,A,1.0,高,1.0,8代
DPX022,GBL6020,DZ01,折扣,新兴,4F中岛,Z1,店外仓,3.0,6.0,B,3.0,低,1.0,7代
DPX024,GBL6020,DZ01,大众,中心,2F边厅,A,店外仓,3.0,12.0,B,3.0,中,1.0,5代
DPX025,GBL6010,DZ01,大众,新兴,1F边厅,Z1,店外仓,3.0,5.0,C,3.0,中,1.0,7代
DPX028,GBL6010,DZ01,折扣,郊区,2F边厅,A,店外仓,2.0,25.0,D,2.0,低,3.0,7代
DPX029,GBL6010,DZ01,折扣,中心,1F边厅,Z1,店外仓,3.0,5.2,C,3.0,低,2.0,5代
DPX030,GBL6010,DZ01,折扣,社区,2F边厅,A,店外仓,3.0,9.0,C,3.0,低,1.0,7代
DPX03X,GBL6010,DZ01,流行,中心,负1F边厅,A,店外仓,3.0,16.0,C,1.0,中,1.0,7代
DPX033,GBL6010,DZ01,流行,中心,2F边厅,A,店外仓,3.0,31.4,A,2.0,高,1.0,7代
DPX034,GBL6010,DZ01,流行,中心,1F边厅,A,店外仓,3.0,17.18,B,3.0,中,1.0,8代
DPX035,GBL6010,DZ01,折扣,社区,1F边厅,A,店外仓,3.0,10.8,B,3.0,中,1.0,7代
DPX037,GBL6010,DZ01,高端,社区,1F中岛,A,店外仓,3.0,15.0,A,3.0,中,1.0,7代
DPX038,GBL6010,DZ01,流行,中心,1F边厅,A,店外仓,3.0,10.0,B,3.0,中,1.0,7代
DPX039,GBL6010,DZ01,流行,新兴,1F边厅,A,店外仓,3.0,10.0,B,1.0,中,1.0,7代
DPX04X,GBL6010,DZ01,流行,中心,1F边厅,A,店外仓,4.0,20.0,A,3.0,高,1.0,8代
DPX042,GBL6010,DZ01,大众,中心,2F边厅,Z1,店外仓,3.0,12.9,B,3.0,中,1.0,7代
DPX043,GBL6010,DZ01,流行,中心,1F边厅,A,店外仓,3.0,16.56,B,1.0,高,1.0,7代
DPX045,GBL6010,DZ01,大众,中心,2F边厅,Z1,店外仓,3.0,11.0,C,3.0,中,1.0,7代
DPX046,GBL6010,DZ01,大众,中心,1F边厅,Z1,店外仓,3.0,11.0,C,3.0,低,1.0,7代
DPX047,GBL6010,DZ01,大众,中心,1F边厅,A,店外仓,3.0,17.0,B,3.0,中,1.0,7代
DPX048,GBL6020,DZ01,大众,郊区,1F边厅,A,店外仓,3.0,8.0,A,3.0,低,1.0,7代
DPX049,GBL6020,DZ01,大众,郊区,1F边厅,A,店外仓,3.0,9.0,C,3.0,中,1.0,7代
DPX050,GBL6020,DZ01,大众,中心,1F边厅,A,店外仓,3.0,8.0,B,3.0,中,1.0,7代
DPX05X,GBL6020,DZ01,大众,中心,4F边厅,A,店外仓,3.0,9.0,C,3.0,中,1.0,7代
DPX052,GBL6020,DZ01,高端,郊区,1F边厅,A,店外仓,3.0,12.0,A,1.0,高,1.0,8代
DPX053,GBL6020,DZ01,高端,中心,2F边厅,A,店外仓,3.0,15.0,B,1.0,高,1.0,7代
DPX054,GBL6020,DZ01,大众,郊区,1F边厅,A,店外仓,3.0,10.0,C,3.0,低,1.0,8代
